Referencia_Pedido;Fecha_Pedido;Fecha_Entrega;Fecha_Prevista;Fecha_Pago;Cliente;Vendedor;Equipo_Ventas;Subtotal;Impuestos;Total;Estado_Pedido;Estado_Factura;Cantidad
SO001;28/08/2018;12/09/2018;8/09/2018;3/10/2018;Cliente2;Angelica;Equipo Oriente;3139000;596410;3735410;Pedido de venta;Facturado;1460
SO000;29/08/2018;17/09/2018;13/09/2018;13/09/2018;Cliente2;Diana;Equipo Sur;2186550;415445;2601995;Pedido de venta;Facturado;1017
SO001;30/08/2018;16/09/2018;9/09/2018;6/10/2018;Cliente7;Yeny;Equipo Centro;1900600;361114;2261714;Pedido de venta;Facturado;884
SO002;31/08/2018;14/09/2018;15/09/2018;24/09/2018;Cliente2;Carlos;Equipo Oriente;2838000;539220;3377220;Pedido de venta;Facturado;1320
SO003;1/09/2018;13/09/2018;9/09/2018;28/10/2018;Cliente1;Lina;Equipo Especial;3096000;588240;3684240;Pedido de venta;Facturado;1440
SO004;2/09/2018;21/09/2018;10/09/2018;22/10/2018;Cliente10;Lina;Equipo Especial;2117750;402373;2520123;Pedido de venta;Facturado;985
SO005;3/09/2018;22/09/2018;16/09/2018;24/10/2018;Cliente15;Angelica;Equipo Oriente;4515000;857850;5372850;Pedido de venta;Facturado;2100
SO006;4/09/2018;20/09/2018;17/09/2018;1/11/2018;Cliente6;Ricardo;Equipo Sur;3526000;669940;4195940;Pedido de venta;Facturado;1640
SO007;5/09/2018;18/09/2018;13/09/2018;21/10/2018;Cliente2;Ricardo;Equipo Sur;2139250;406458;2545708;Pedido de venta;Facturado;995
SO008;6/09/2018;23/09/2018;18/09/2018;14/09/2018;Cliente2;Enrique;Equipo Sur;2494000;473860;2967860;Pedido de venta;Facturado;1160
SO009;7/09/2018;18/09/2018;18/09/2018;6/11/2018;Cliente6;David;Equipo Especial;4063500;772065;4835565;Pedido de venta;Facturado;1890
SO010;8/09/2018;26/09/2018;23/09/2018;21/09/2018;Cliente7;Enrique;Equipo Sur;3792600;720594;4513194;Pedido de venta;Facturado;1764
SO011;9/09/2018;19/09/2018;17/09/2018;8/10/2018;Cliente4;Lina;Equipo Especial;2859500;543305;3402805;Pedido de venta;Facturado;1330
SO012;10/09/2018;27/09/2018;23/09/2018;7/10/2018;Cliente9;Lina;Equipo Especial;3633500;690365;4323865;Pedido de venta;Facturado;1690
SO013;11/09/2018;1/10/2018;20/09/2018;11/10/2018;Cliente4;Carlos;Equipo Oriente;4515000;857850;5372850;Pedido de venta;Facturado;2100
SO014;12/09/2018;28/09/2018;20/09/2018;5/10/2018;Cliente7;Ricardo;Equipo Sur;5267500;1000825;6268325;Pedido de venta;Facturado;2450
SO015;13/09/2018;1/10/2018;27/09/2018;13/10/2018;Cliente2;Diana;Equipo Sur;4085000;776150;4861150;Pedido de venta;Facturado;1900
